dsm_code,brand,sports,productnature,structurationvalues,category_id
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],1c7ea560-abb8-42a2-b382-c20cd24c6386
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],156036a8-adc0-44a0-bba0-e50b4171ff8f
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],0159369c-d747-4ac2-a6c2-9065c3330d2a
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],48cd1592-b865-4905-bf98-7dd437935445
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],514612bf-0b54-4f8f-a9c5-172f9d014f52
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],5e86ae0b-25c3-47db-ac32-45ff15c92486
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],91865ff8-d67b-4397-8145-5d2a46c3edf1
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],f0e8d528-a675-4dab-b22d-55e2ffb203a0
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],d20a2bd7-a7c5-4ae7-b0cf-abc0d8de6c95
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],9b2d421e-c9e0-4427-aa01-d16094007cff
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],a5a3c95b-9323-4260-ba75-fb78485a796b
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],2898757d-0df0-4f98-983c-e96e1b8554a0
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],2a2f466e-8e5c-49ff-adba-9b82b43b6796
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],b5f8d1f0-b6d0-4d4c-89ff-e85d4fcb2d47
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],d08b62aa-40e6-4f3b-b2c0-64620437c401
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],dae3e3ab-7511-4632-a1c6-ed6f29b9321f
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],146d55d1-b849-419e-a417-0382f4b8f9f6
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],514612bf-0b54-4f8f-a9c5-172f9d014f52
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],69045c61-241a-4e74-b111-00f8a541287e
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],764a12db-0fbd-40d3-b29f-52e3ef923433
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],109bbb50-1ee7-4354-bb09-c345717ff6fa
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],876a2dbc-5e09-4336-ba0f-708a44788433
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],abd2b08c-5c0b-40e3-8eb7-c00ec46f1125
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],7b773582-6146-4bf9-9e52-3cfb720fcc5b
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],5e737d0f-38bb-414b-a8c9-d44b0968b790
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],9b2d421e-c9e0-4427-aa01-d16094007cff
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],bda510ff-3ff2-4f68-9920-28da1ed6f3fc
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],764a12db-0fbd-40d3-b29f-52e3ef923433
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],68116f5c-f37f-43cd-8d2c-c1001f0b93ff
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],156036a8-adc0-44a0-bba0-e50b4171ff8f
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],a44d49b0-c2fb-4d8c-a32e-4267897351c3
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],3f55c3f6-3076-40ee-848e-d9dc659f9efd
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],d08b62aa-40e6-4f3b-b2c0-64620437c401
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],514612bf-0b54-4f8f-a9c5-172f9d014f52
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],2898757d-0df0-4f98-983c-e96e1b8554a0
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],e36195b4-1d6d-4a15-9a91-f3273583bfc7
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],764a12db-0fbd-40d3-b29f-52e3ef923433
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],5f7f92f8-8913-4bc9-aa2b-c4f8298b180e
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],3e3087e5-40a0-48c7-a30d-6504eca6bf5b
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],d9c54042-2af0-4832-958e-0ae5c28b465d
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],5424dce1-7256-4e40-809e-4e03336d3db6
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],0e0ed171-451e-45b8-b1e0-0cca12589737
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],e6c3f98b-16d6-4dd2-a0b0-bdf36ff12a3e
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],5e86ae0b-25c3-47db-ac32-45ff15c92486
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],83e6657f-8fd4-4a7e-877d-129f1d62bfc3
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],a8d69a63-f7b9-4915-b172-6ca7a0d5db41
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],dae3e3ab-7511-4632-a1c6-ed6f29b9321f
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],514612bf-0b54-4f8f-a9c5-172f9d014f52
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],95d57536-8355-4b0a-9a41-4fe40c81322c
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],9b2d421e-c9e0-4427-aa01-d16094007cff
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],927510f9-80d0-4faa-bdfe-b47b2eb386f4
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],f3007e8b-4cd5-42ef-84e7-9c9aa149e0fd
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],95d57536-8355-4b0a-9a41-4fe40c81322c
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],9b2d421e-c9e0-4427-aa01-d16094007cff
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],a8d69a63-f7b9-4915-b172-6ca7a0d5db41
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],1eb0eaff-b477-4323-b68b-3d44a6b9a6d5
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],dae3e3ab-7511-4632-a1c6-ed6f29b9321f
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],91217cf8-3eb2-4295-8014-33d2fa96914a
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],2898757d-0df0-4f98-983c-e96e1b8554a0
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],20dd9cfa-f889-4dc8-81cd-54c608467907
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],e6c3f98b-16d6-4dd2-a0b0-bdf36ff12a3e
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],598e5fe2-8d60-41c0-8b9f-1ad436257ed0
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],a059ee7c-cce1-4b1f-8fc0-c3f782b8a157
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],65f40e18-8c49-4677-a6c3-970eff15ee8c
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],68116f5c-f37f-43cd-8d2c-c1001f0b93ff
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],652aea00-775b-49dc-9db2-cb06f2fad3bd
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],69045c61-241a-4e74-b111-00f8a541287e
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],e6c3f98b-16d6-4dd2-a0b0-bdf36ff12a3e
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],9b2d421e-c9e0-4427-aa01-d16094007cff
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],aeddd414-2077-4d30-a553-1490d49ad548
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],3d62f7d5-b4e6-4a5e-9eec-7b944d137fdd
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],5152bf7e-d43d-424b-9f85-dc401ef39e7b
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],68116f5c-f37f-43cd-8d2c-c1001f0b93ff
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],927510f9-80d0-4faa-bdfe-b47b2eb386f4
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],9b2d421e-c9e0-4427-aa01-d16094007cff
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],9d1516db-3f71-42a0-81bc-8af80fbbeffe
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],a9c2ef7a-7c57-4519-9c90-c81603fd395c
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],a8d69a63-f7b9-4915-b172-6ca7a0d5db41
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],bedf465d-54e5-4045-9afe-6788050ea0f2
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],4ca2746e-db71-460a-b5cd-4b781ec9351f
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],c0ce69a0-b5d3-4d90-8048-3d538f51e2ef
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],e4907c75-6379-4a52-8381-f165d66613d8
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],60aad040-213a-4736-ae96-427a72e581cb
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],faae4f9e-dae0-48d0-810e-99d31f9caa81
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],156036a8-adc0-44a0-bba0-e50b4171ff8f
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],2898757d-0df0-4f98-983c-e96e1b8554a0
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],514612bf-0b54-4f8f-a9c5-172f9d014f52
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],69045c61-241a-4e74-b111-00f8a541287e
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],8d342a12-02da-4d87-995e-8b790f7259d7
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],0134fb97-2886-4a30-9001-335f40910959
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],156036a8-adc0-44a0-bba0-e50b4171ff8f
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],764a12db-0fbd-40d3-b29f-52e3ef923433
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],a5386922-09cd-43c0-90d4-23a7e4d8049d
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],92e5e3e2-c6fc-491e-b795-355d772e0519
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],927510f9-80d0-4faa-bdfe-b47b2eb386f4
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],95d57536-8355-4b0a-9a41-4fe40c81322c
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],4ef5bb3f-6460-4b00-a8af-38b676c98082
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],514612bf-0b54-4f8f-a9c5-172f9d014f52
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],9b2d421e-c9e0-4427-aa01-d16094007cff
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],c85b63fa-7e50-4de6-8af9-19fe9f460f1d
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],a44d49b0-c2fb-4d8c-a32e-4267897351c3
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],a47bc774-ce6a-43ea-b80e-c71dd222963f
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],a8d69a63-f7b9-4915-b172-6ca7a0d5db41
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],f6533a99-83c9-41d3-b5bb-ca445e1d65bb
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],c9abe5bd-9780-4444-b398-1f5c5ca4310a
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],9b2d421e-c9e0-4427-aa01-d16094007cff
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],d08b62aa-40e6-4f3b-b2c0-64620437c401
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],a44d49b0-c2fb-4d8c-a32e-4267897351c3
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],7de95415-9cb7-4725-a9a3-38d94ab68f86
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],dae3e3ab-7511-4632-a1c6-ed6f29b9321f
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],de22c33a-acb3-4fae-af75-7b35d3e58977
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],d08b62aa-40e6-4f3b-b2c0-64620437c401
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],5e86ae0b-25c3-47db-ac32-45ff15c92486
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],0849f896-b4b9-42db-ba3d-471f13e00a11
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],eca5e93f-c7d2-4596-95ef-e397762f2547
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],25c3fc1a-da40-46f2-aebc-c1568f4422ca
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],2a78ee47-0bd7-4abe-8081-aa42c1c46ca9
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],0aabfb38-4c46-4cd9-8376-5fb2121e899c
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],69045c61-241a-4e74-b111-00f8a541287e
121754,"""484""","[""78"", ""266"", ""261""]","""25015""",[],da00c539-5875-4aa4-9b82-07c17e861d9f
